"region_id","region_name","base_year","target_year","Total_value","Total_trend","ChangeArea_add","ChangeArea_redu"
"530500","保山市","2013","2014","-0.0409","减少","6107.25","10958.4"
"530500","保山市","2013","2015","0.0673","增加","12086.27","6045.88"
"530500","保山市","2013","2016","0.0559","增加","11864.07","6330.28"
"530500","保山市","2013","2017","0.1275","增加","13903.31","4338.35"
"530500","保山市","2013","2018","0.1474","增加","14713.89","3491.43"
"530500","保山市","2013","2019","0.1225","增加","14035.02","4058.56"
"530500","保山市","2013","2020","0.1422","增加","14780.45","3412.89"
"530500","保山市","2013","2021","0.1658","增加","15381.42","2904.34"
"530500","保山市","2013","2022","0.1642","增加","15205.84","3117.77"
"530500","保山市","2014","2015","0.1082","增加","13097.36","5142.96"
"530500","保山市","2014","2016","0.0968","增加","12770.99","5515.01"
"530500","保山市","2014","2017","0.1684","增加","14690.99","3688.82"
"530500","保山市","2014","2018","0.1883","增加","15475.75","2908.75"
"530500","保山市","2014","2019","0.1634","增加","15048.02","3251.01"
"530500","保山市","2014","2020","0.1831","增加","15571.52","2819.96"
"530500","保山市","2014","2021","0.2067","增加","16085.76","2377.74"
"530500","保山市","2014","2022","0.2051","增加","15881.28","2607.22"
"530500","保山市","2015","2016","-0.0114","减少","8436.87","8246.86"
"530500","保山市","2015","2017","0.0602","增加","11178.26","6049.12"
"530500","保山市","2015","2018","0.0801","增加","11404.28","6242.28"
"530500","保山市","2015","2019","0.0552","增加","10373.66","7251.83"
"530500","保山市","2015","2020","0.0749","增加","11143.36","6608.36"
"530500","保山市","2015","2021","0.0985","增加","12184.55","5585.77"
"530500","保山市","2015","2022","0.0969","增加","12187.75","5575"
"530500","保山市","2016","2017","0.0716","增加","11065.65","5655.1"
"530500","保山市","2016","2018","0.0916","增加","11470.99","6092.59"
"530500","保山市","2016","2019","0.0666","增加","10403.51","7261.81"
"530500","保山市","2016","2020","0.0864","增加","11161.71","6579.13"
"530500","保山市","2016","2021","0.1099","增加","12164.06","5570.26"
"530500","保山市","2016","2022","0.1083","增加","12166.85","5561.75"
"530500","保山市","2017","2018","0.02","增加","8630.19","8223.74"
"530500","保山市","2017","2019","-0.005","不变","7485.09","9788.4"
"530500","保山市","2017","2020","0.0148","增加","8400.01","9042.79"
"530500","保山市","2017","2021","0.0383","增加","9538.55","7776.82"
"530500","保山市","2017","2022","0.0367","增加","9709.08","7619.15"
"530500","保山市","2018","2019","-0.0249","减少","6061.81","10078.35"
"530500","保山市","2018","2020","-0.0052","不变","7742.41","8859.23"
"530500","保山市","2018","2021","0.0183","增加","9559.83","7384.71"
"530500","保山市","2018","2022","0.0167","增加","9813.93","7214.89"
"530500","保山市","2019","2020","0.0197","增加","9964.4","6126.55"
"530500","保山市","2019","2021","0.0433","增加","11797.11","5077.99"
"530500","保山市","2019","2022","0.0417","增加","11792.48","5432.03"
"530500","保山市","2020","2021","0.0119","增加","10076.37","5630.32"
"530500","保山市","2020","2022","0.0111","增加","10465.49","5877.06"
"530500","保山市","2021","2022","-0.0008","不变","8330.53","7026.03"
"532300","雄楚彝族自治州","2013","2014","-0.0064","不变","11301.01","13026.07"
"532300","雄楚彝族自治州","2013","2015","0.1778","增加","23193.65","4140.2"
"532300","雄楚彝族自治州","2013","2016","0.2017","增加","24442.5","3043.46"
"532300","雄楚彝族自治州","2013","2017","0.2362","增加","25531.22","2152.24"
"532300","雄楚彝族自治州","2013","2018","0.2067","增加","24766.31","2753.98"
"532300","雄楚彝族自治州","2013","2019","0.1691","增加","23223.49","4055.35"
"532300","雄楚彝族自治州","2013","2020","0.1628","增加","23115.02","4112.12"
"532300","雄楚彝族自治州","2013","2021","0.2021","增加","24559.68","2961.33"
"532300","雄楚彝族自治州","2013","2022","0.2089","增加","24680.69","2836.08"
"532300","雄楚彝族自治州","2014","2015","0.1842","增加","23741.83","3674.66"
"532300","雄楚彝族自治州","2014","2016","0.2081","增加","24903.77","2660.66"
"532300","雄楚彝族自治州","2014","2017","0.2426","增加","25888.37","1862.52"
"532300","雄楚彝族自治州","2014","2018","0.2131","增加","25180.92","2418.87"
"532300","雄楚彝族自治州","2014","2019","0.1756","增加","23746.07","3607.32"
"532300","雄楚彝族自治州","2014","2020","0.1692","增加","23606.46","3700.43"
"532300","雄楚彝族自治州","2014","2021","0.2085","增加","24912.85","2680.34"
"532300","雄楚彝族自治州","2014","2022","0.2153","增加","25040.73","2548.81"
"532300","雄楚彝族自治州","2015","2016","0.024","增加","14855.38","9504.15"
"532300","雄楚彝族自治州","2015","2017","0.0585","增加","18254.74","7219.73"
"532300","雄楚彝族自治州","2015","2018","0.0289","增加","15147.67","10341.55"
"532300","雄楚彝族自治州","2015","2019","-0.0086","不变","12019.66","13783.55"
"532300","雄楚彝族自治州","2015","2020","-0.015","减少","11480.72","14291.29"
"532300","雄楚彝族自治州","2015","2021","0.0243","增加","15389.62","10438.44"
"532300","雄楚彝族自治州","2015","2022","0.0312","增加","15594.75","10240.62"
"532300","雄楚彝族自治州","2016","2017","0.0345","增加","16998.86","6827.46"
